type,miss_rate
1024-n-regs_16-rob-entries_16-iq-entries,0.411625
1024-n-regs_16-rob-entries_256-iq-entries,0.411625
1024-n-regs_16-rob-entries_4-iq-entries,0.411598
1024-n-regs_16-rob-entries_64-iq-entries,0.411625
1024-n-regs_256-rob-entries_16-iq-entries,0.411721
1024-n-regs_256-rob-entries_256-iq-entries,0.411726
1024-n-regs_256-rob-entries_4-iq-entries,0.411598
1024-n-regs_256-rob-entries_64-iq-entries,0.411708
1024-n-regs_4-rob-entries_16-iq-entries,0.411517
1024-n-regs_4-rob-entries_256-iq-entries,0.411517
1024-n-regs_4-rob-entries_4-iq-entries,0.411517
1024-n-regs_4-rob-entries_64-iq-entries,0.411517
1024-n-regs_64-rob-entries_16-iq-entries,0.411666
1024-n-regs_64-rob-entries_256-iq-entries,0.411689
1024-n-regs_64-rob-entries_4-iq-entries,0.411598
1024-n-regs_64-rob-entries_64-iq-entries,0.411689
256-n-regs_16-rob-entries_16-iq-entries,0.411625
256-n-regs_16-rob-entries_256-iq-entries,0.411625
256-n-regs_16-rob-entries_4-iq-entries,0.411598
256-n-regs_16-rob-entries_64-iq-entries,0.411625
256-n-regs_256-rob-entries_16-iq-entries,0.411721
256-n-regs_256-rob-entries_256-iq-entries,0.411726
256-n-regs_256-rob-entries_4-iq-entries,0.411598
256-n-regs_256-rob-entries_64-iq-entries,0.411708
256-n-regs_4-rob-entries_16-iq-entries,0.411517
256-n-regs_4-rob-entries_256-iq-entries,0.411517
256-n-regs_4-rob-entries_4-iq-entries,0.411517
256-n-regs_4-rob-entries_64-iq-entries,0.411517
256-n-regs_64-rob-entries_16-iq-entries,0.411666
256-n-regs_64-rob-entries_256-iq-entries,0.411689
256-n-regs_64-rob-entries_4-iq-entries,0.411598
256-n-regs_64-rob-entries_64-iq-entries,0.411689
64-n-regs_16-rob-entries_16-iq-entries,0.411625
64-n-regs_16-rob-entries_256-iq-entries,0.411625
64-n-regs_16-rob-entries_4-iq-entries,0.411598
64-n-regs_16-rob-entries_64-iq-entries,0.411625
64-n-regs_256-rob-entries_16-iq-entries,0.411689
64-n-regs_256-rob-entries_256-iq-entries,0.411651
64-n-regs_256-rob-entries_4-iq-entries,0.411598
64-n-regs_256-rob-entries_64-iq-entries,0.411651
64-n-regs_4-rob-entries_16-iq-entries,0.411517
64-n-regs_4-rob-entries_256-iq-entries,0.411517
64-n-regs_4-rob-entries_4-iq-entries,0.411517
64-n-regs_4-rob-entries_64-iq-entries,0.411517
64-n-regs_64-rob-entries_16-iq-entries,0.411634
64-n-regs_64-rob-entries_256-iq-entries,0.411614
64-n-regs_64-rob-entries_4-iq-entries,0.411598
64-n-regs_64-rob-entries_64-iq-entries,0.411614
